freq,mag,delay,period,phase,mag_log
10,"0,0001",180,"0,1",180,-80
100,"0,004",180,"0,01",180,"-47,95880017"
1000,"0,0064","0,00043","0,001",180,"-43,87640052"
2000,"0,019","0,00024","0,0005","172,8","-34,42492798"
3000,"0,0424","0,00016","0,0003333333333","172,8","-27,45268287"
4000,"0,079","0,00012","0,00025","172,8","-22,04745817"
5000,"0,139","0,000098","0,0002","176,4","-17,13970399"
6000,"0,214","0,000084","0,0001666666667","181,44","-13,39172453"
7000,"0,328","0,000076","0,0001428571429","191,52","-9,682523126"
8000,"0,456","0,000062","0,000125","178,56","-6,820703147"
9000,"0,7","0,000054","0,0001111111111","174,96","-3,0980392"
10000,"1,01","0,000045","0,0001",162,"0,08642747565"
11000,"1,68","0,0000388","0,00009090909091","153,648","4,506185635"
12000,"2,7","0,0000324","0,00008333333333","139,968","8,627275283"
13000,"3,86","0,0000216","0,00007692307692","101,088","11,73174609"
14000,"3,78","0,0000118","0,00007142857143","59,472","11,549836"
15000,"3,24","0,0000074","0,00006666666667","39,96","10,2109002"
16000,"2,8","0,000005","0,0000625","28,8","8,943160627"
17000,"2,44","0,0000036","0,00005882352941","22,032","7,747796527"
18000,"2,18","0,0000028","0,00005555555556","18,144","6,769129872"
19000,"1,92","0,0000024","0,00005263157895","16,416","5,666024574"
20000,"1,82","0,000002","0,00005","14,4","5,20142776"
30000,"1,22",0,"0,00003333333333",0,"1,727196613"
40000,"1,12",0,"0,000025",0,"0,9843604534"
50000,"1,03",0,"0,00002",0,"0,2567444941"
60000,"1,03",0,"0,00001666666667",0,"0,2567444941"
70000,1,0,"0,00001428571429",0,0
80000,1,0,"0,0000125",0,0
90000,1,0,"0,00001111111111",0,0
100000,1,0,"0,00001",0,0
200000,1,0,"0,000005",0,0
300000,1,0,"0,000003333333333",0,0
400000,1,0,"0,0000025",0,0
500000,1,0,"0,000002",0,0
600000,1,0,"0,000001666666667",0,0
700000,1,0,"0,000001428571429",0,0
800000,1,0,"0,00000125",0,0
900000,1,0,"0,000001111111111",0,0
1000000,1,0,"0,000001",0,0